nombre;siglas;descripcion;id_ciclo
Sistemas informáticos (DAM);SIM;Se aprende a instalar, configurar y administrar sistemas operativos en entornos de servidor y cliente. Se abordan conceptos de hardware, redes, gestión de usuarios y permisos, virtualización y seguridad informática.;55
Desarrollo de Interfaces;DI;Se aprende a diseñar y programar interfaces de usuario intuitivas y funcionales, considerando aspectos de usabilidad y experiencia del usuario (UX).;55
Sistemas de Gestión Empresarial;SGE;Una introducción al desarrollo y adaptación de soluciones informáticas para la gestión empresarial, incluyendo sistemas ERP y CRM, que optimizan procesos internos de las organizaciones.;55
Programación de Servicios y Procesos;PSP;Se estudian técnicas para desarrollar servicios y procesos en segundo plano que permitan a las aplicaciones realizar tareas de manera eficiente, garantizando una adecuada gestión de recursos.;55
Desarrollo Web en Entorno Cliente;DWC;Se aprende a desarrollar la parte visual y dinámica de las aplicaciones web utilizando HTML, CSS y JavaScript. Se profundiza en frameworks y librerías como React, Vue.js o Angular, así como en la manipulación del DOM y AJAX para mejorar la experiencia del usuario.;54
Sistemas informáticos (DAW);SIW;Se aprende a instalar, configurar y administrar sistemas operativos en entornos de servidor y cliente. Se abordan conceptos de hardware, redes, gestión de usuarios y permisos, virtualización y seguridad informática.;54
Diseño de Interfaces Web;DIW;Se trabajan principios de usabilidad, accesibilidad, experiencia de usuario (UX/UI) y diseño responsivo con CSS y frameworks como Bootstrap o Tailwind CSS. Se estudian herramientas de diseño como Figma.;54
Diseño gráfico 2D y 3D;D23;Se enfoca en la creación de modelos tridimensionales y su animación para su uso en videojuegos y aplicaciones de realidad virtual. Los estudiantes aprenden técnicas de modelado, texturizado y rigging.;56
Diseño, gestión, publicación y producción;DGP;Este módulo aborda las fases de creación de un videojuego, desde la conceptualización de la idea hasta su implementación. Se estudian aspectos como mecánicas de juego, narrativa, diseño de niveles y experiencia del usuario.;56
Programación y motores de videojuegos;PMV;Se centra en el uso de lenguajes de programación y motores gráficos para el desarrollo de videojuegos. Los estudiantes aprenden a implementar funcionalidades, físicas y lógica de juego, optimizando el rendimiento en diferentes plataformas.;56
Programación en red e inteligencia artificial;PRI;Está diseñado para que los estudiantes adquieran competencias en el desarrollo de aplicaciones que operan en entornos de red y que incorporan técnicas de inteligencia artificial (IA);56
Realidad virtual y realidad aumentada;RVA;Este módulo introduce a las tecnologías de realidad virtual (VR) y realidad aumentada (AR), enseñando a desarrollar aplicaciones inmersivas que integren elementos virtuales en entornos reales o completamente digitales.;56
Montaje y mantenimiento de equipos;MME;En este módulo se aprende a ensamblar y mantener equipos informáticos, identificando y solucionando posibles fallos de hardware.;52
Sistemas operativos monopuesto;SOM;Se centra en la instalación, configuración y administración de sistemas operativos en equipos individuales, asegurando su correcto funcionamiento.;52
Aplicaciones ofimáticas;AOF;Se adquieren habilidades en el uso de herramientas ofimáticas, como procesadores de texto, hojas de cálculo y software de presentaciones, esenciales para el entorno empresarial.;52
Sistemas operativos en red;SOR;Este módulo aborda la instalación y gestión de sistemas operativos diseñados para funcionar en entornos de red, facilitando la comunicación y el intercambio de recursos entre equipos.;52
Implantación de sistemas operativos;ISO;Este módulo se centra en la instalación, configuración y administración de sistemas operativos, tanto en entornos monopuesto como en red. Los estudiantes aprenden a gestionar recursos, usuarios y permisos, asegurando el correcto funcionamiento del sistema.;53
Fundamentos de hardware;FHW;Este módulo proporciona conocimientos sobre los componentes físicos de los sistemas informáticos, enseñando a identificar, montar y mantener hardware, así como a diagnosticar y solucionar problemas relacionados.;53
Administración de sistemas operativos;ASO;Se profundiza en la gestión avanzada de sistemas operativos, incluyendo la administración de servicios, la optimización del rendimiento y la implementación de políticas de seguridad para proteger la integridad del sistema.;53
